id,match_id,team1_name,team2_name,team1_players,team2_players,winner,created_at,updated_at,updated_by
28,A2FJK3,Shaved bootyhole,We are racist,"[""David"",""CyaNoobK0"",""Vizinachi"",""ryuuto"",""Rhapthorn2""]","[""variableman#000"",""Eli"",""Unkie Driller"",""Blackman"",""TSM Meat Shark#NA1""]",team2,2025-05-29 07:02:22.887309+00,2025-05-29 08:10:30.277792+00,S I L E N T
29,FDDCUQ,Wuss Squad,Dried peen,"[""S I L E N T"",""Draxx"",""CyaNoobK0"",""Rhapthorn2"",""CuteDistraction""]","[""Vizinachi"",""David"",""luvgramy"",""ryuuto"",""Osaucejones""]",,2025-05-29 07:40:06.994447+00,,
30,AFJFCD,Twasen and bumble,Marc Carney's butt,"[""CuteDistraction"",""S I L E N T"",""Vizinachi"",""CyaNoobK0"",""Osaucejones""]","[""Unkie Driller"",""David"",""Rhapthorn2"",""variableman#000"",""4444""]",,2025-05-29 08:05:50.823868+00,,
31,0V2L0C,Silent is _____,Wuss Squad,"[""luvgramy"",""S I L E N T"",""David"",""Rhapthorn2"",""ryuuto""]","[""4444"",""Vizinachi"",""CyaNoobK0"",""CuteDistraction"",""TSM Meat Shark#NA1""]",,2025-05-29 08:06:14.782645+00,,
32,1UG5FM,Silent is _____,Wuss Squad,"[""luvgramy"",""S I L E N T"",""David"",""Rhapthorn2"",""ryuuto""]","[""4444"",""Vizinachi"",""CyaNoobK0"",""CuteDistraction"",""TSM Meat Shark#NA1""]",,2025-05-29 08:06:14.99542+00,,
33,JXZM28,Driller Drug overdose,Austin's Python,"[""luvgramy"",""S I L E N T"",""David"",""Rhapthorn2"",""ryuuto""]","[""4444"",""Vizinachi"",""CyaNoobK0"",""CuteDistraction"",""TSM Meat Shark#NA1""]",team1,2025-05-29 08:06:15.142947+00,2025-05-29 08:49:01.666645+00,S I L E N T
34,OUJ4AJ,Wuss Squad,Dried peen,"[""Tranquility"",""luvgramy"",""David"",""Vizinachi"",""ryuuto""]","[""CyaNoobK0"",""S I L E N T"",""4444"",""CuteDistraction"",""Sable""]",team1,2025-05-29 08:49:24.071095+00,2025-05-29 22:32:53.517467+00,4444
35,DWBAFP,Austin's Python,Twasen and bumble,"[""luvgramy"",""CuteDistraction"",""way"",""4444"",""Vizinachi""]","[""Matthias H"",""Unkie Driller"",""Tranquility"",""institutional"",""Striker""]",team2,2025-05-29 09:57:33.582591+00,2025-05-29 22:24:38.76063+00,Tsawwassen
36,UMP2OA,Masala Party,Chinese Tariffs,"[""David"",""way"",""Zeitoun (Nabil) (He/Him)"",""kazoo"",""TSM Meat Shark#NA1""]","[""Unkie Driller"",""Ign: Wreckboy"",""Retribution"",""luvgramy"",""S I L E N T""]",team1,2025-05-30 04:56:28.772812+00,2025-05-30 05:48:39.400827+00,Ign: Wreckboy
37,3MIMVP,Autotune's cousin,RIP Solace,"[""S I L E N T"",""CuteDistraction"",""TSM Meat Shark#NA1"",""luvgramy"",""way""]","[""Zeitoun (Nabil) (He/Him)"",""David"",""Matthias H"",""Retribution"",""kazoo""]",,2025-05-30 05:45:55.257252+00,,
38,DUQG3K,Austin's Python,Twasen and bumble,"[""luvgramy"",""Jordan"",""Zeitoun (Nabil) (He/Him)"",""way"",""Matthias H""]","[""S I L E N T"",""Retribution"",""David"",""TSM Meat Shark#NA1"",""CuteDistraction""]",team2,2025-05-30 06:16:57.25001+00,2025-05-30 06:50:42.544087+00,S I L E N T
39,ANPKSC,Austin's Python,Twasen and bumble,"[""Matthias H"",""way"",""CuteDistraction"",""Zeitoun (Nabil) (He/Him)"",""S I L E N T""]","[""Retribution"",""TSM Meat Shark#NA1"",""Draxx"",""David"",""Jordan""]",team1,2025-05-30 06:50:58.527484+00,2025-05-30 07:45:03.534263+00,S I L E N T
40,M4IB5D,Wuss Squad,Dried peen,"[""Vizinachi"",""4444"",""Ign: Wreckboy"",""Matthias H"",""CuteDistraction""]","[""Draxx"",""Jordan"",""Zeitoun (Nabil) (He/Him)"",""TSM Meat Shark#NA1"",""luvgramy""]",team1,2025-05-30 07:37:27.088949+00,2025-05-30 08:22:00.733937+00,Ign: Wreckboy
41,XU7BII,We are racist,David's Coochies,"[""Vizinachi"",""luvgramy"",""David"",""CuteDistraction"",""Ign: Wreckboy""]","[""Zeitoun (Nabil) (He/Him)"",""Matthias H"",""TSM Meat Shark#NA1"",""4444"",""Draxx""]",team2,2025-05-30 08:21:01.301369+00,2025-05-30 08:21:27.75792+00,4444
42,GIXILM,Wuss Squad,Dried peen,"[""luvgramy"",""Draxx"",""Matthias H"",""Vizinachi"",""Zeitoun (Nabil) (He/Him)""]","[""4444"",""TSM Meat Shark#NA1"",""CuteDistraction"",""David"",""Ign: Wreckboy""]",,2025-05-30 08:24:28.429734+00,,
43,CVVLKT,Autotune's cousin,RIP Solace,"[""Vizinachi"",""CuteDistraction"",""luvgramy"",""David"",""Rhapthorn2""]","[""Matthias H"",""TSM Meat Shark#NA1"",""4444"",""Ign: Wreckboy"",""S I L E N T""]",team1,2025-05-30 08:37:13.708593+00,2025-05-30 09:20:28.217499+00,4444
44,FFH5UL,RIP Solace,Silent is _____,"[""S I L E N T"",""Ign: Wreckboy"",""xtoads6"",""TSM Meat Shark#NA1"",""Tsawwassen""]","[""Clown"",""Vizinachi"",""nicolevico"",""UnagiRoll"",""Unkie Driller""]",team1,2025-06-01 05:41:09.479506+00,2025-06-01 06:27:58.880228+00,S I L E N T
